"","X","total"
"1","Aruba",480.274619049668
"2","Afghanistan",-13528882.339287
"3","Angola",-4247884.05937036
"4","Anguilla",-2067.39554356687
"5","Albania",-624453.782131298
"6","Åland",659.203323477535
"7","Andorra",-7823.97558224516
"8","United Arab Emirates",79408.3220303379
"9","Argentina",15250951.158319
"10","Armenia",-874116.443014837
"11","American Samoa",-209.504646479896
"12","Antarctica",0
"13","Ashmore and Cartier Is.",0
"14","Fr. S. Antarctic Lands",0
"15","Antigua and Barb.",-11669.2616082647
"16","Australia",-65904968.1925922
"17","Austria",-687870.858384134
"18","Azerbaijan",-2516861.98370858
"19","Burundi",2527758.50722333
"20","Belgium",-553045.196105
"21","Benin",-3503460.89823618
"22","Burkina Faso",-8528020.92407687
"23","Bangladesh",-12052398.7704245
"24","Bulgaria",-4498985.44090353
"25","Bahrain",3894.11525382868
"26","Bahamas",9941.53349230005
"27","Bosnia and Herz.",-1103487.69156033
"28","St-Barthélemy",0
"29","Belarus",-7919373.8306321
"30","Belize",61401.9594499364
"31","Bermuda",-21.4945775280348
"32","Bolivia",-4601361.03537804
"33","Brazil",-78781185.7315354
"34","Barbados",-1353.74461184479
"35","Brunei",-16048.790619669
"36","Bhutan",-170686.741511019
"37","Botswana",-933690.248051991
"38","Central African Rep.",-142929.496748702
"39","Canada",-26568786.3116134
"40","Switzerland",-1159595.97406772
"41","Chile",-1725353.9106323
"42","China",359094820.394808
"43","Côte d'Ivoire",26852364.8232566
"44","Cameroon",1137764.13251378
"45","Dem. Rep. Congo",-10309730.53807
"46","Congo",-717509.771107739
"47","Cook Is.",-25.4361898420954
"48","Colombia",8584525.00304083
"49","Comoros",-5032.67638894924
"50","Cabo Verde",-6.21159042406437
"51","Costa Rica",792169.649223669
"52","Cuba",-1946841.7386226
"53","Curaçao",-86.7442077459145
"54","Cayman Is.",-77.9122418259773
"55","N. Cyprus",-452.223422349774
"56","Cyprus",39586.894759477
"57","Czechia",-1978529.64451667
"58","Germany",-15693741.122187
"59","Djibouti",82398.8023045969
"60","Dominica",0
"61","Denmark",607204.467199627
"62","Dominican Rep.",217976.78612504
"63","Algeria",-3958837.9936368
"64","Ecuador",2825298.73331039
"65","Egypt",4728981.70170258
"66","Eritrea",-365895.467904507
"67","Spain",-16313194.4255618
"68","Estonia",-1040328.7436159
"69","Ethiopia",-10802074.774924
"70","Finland",-696481.657455584
"71","Fiji",99761.0529269851
"72","Falkland Is.",-12.3678207282768
"73","France",-17156499.2077985
"74","Faeroe Is.",-364.123294387327
"75","Micronesia",-9.48409796584005
"76","Gabon",-89802.4529453471
"77","United Kingdom",-9987848.95101674
"78","Georgia",-1316430.92293433
"79","Guernsey",-269.120058496925
"80","Ghana",-1738778.87531346
"81","Guinea",-2352879.83064027
"82","Gambia",-339196.116619389
"83","Guinea-Bissau",-374989.325870889
"84","Eq. Guinea",-31401.5279260235
"85","Greece",-2516335.09245456
"86","Grenada",-870.112363253586
"87","Greenland",0
"88","Guatemala",-684002.110293489
"89","Guam",-541.282375956695
"90","Guyana",238965.756319012
"91","Hong Kong",-856.619372988782
"92","Heard I. and McDonald Is.",0
"93","Honduras",-803832.39969016
"94","Croatia",-1015029.55427797
"95","Haiti",-2350136.94380901
"96","Hungary",-7272372.24808331
"97","Indonesia",21976032.5723395
"98","Isle of Man",-27374.7336523511
"99","India",-191827443.208908
"100","Indian Ocean Ter.",0
"101","Br. Indian Ocean Ter.",0
"102","Ireland",-2967518.36001581
"103","Iran",-4122088.58657428
"104","Iraq",-3222515.59290586
"105","Iceland",-397840.377094055
"106","Israel",-46107.4458535725
"107","Italy",-4192576.96443389
"108","Jamaica",540496.679584176
"109","Jersey",-3503.04634640766
"110","Jordan",-125325.641687086
"111","Japan",3990507.30968408
"112","Siachen Glacier",0
